序号,单词
1,short
2,instrument
3,captain
4,plain
5,ocean
6,silly
7,negative
8,map
9,point
10,possible
11,restroom
12,clap
13,secret
14,sad
15,nurse
16,June
17,die
18,plate
19,lie
20,move
21,private
22,cause
23,international
24,afraid
25,eighteen
26,pain
27,choice
28,read
29,waiter
30,below
31,interest
32,impress
33,tent
34,dozen
35,coat
36,key
37,life
38,above
39,suitcase
40,care
41,escalator
42,divide
43,cloud
44,love
45,Tuesday
46,juice
47,plan
48,asleep
49,snow
50,conference
51,regular
52,eat
53,cap
54,country
55,volleyball
56,outside
57,egg
58,meeting
59,pleasant
60,large
61,situation
62,nice
63,chess
64,Asian
65,thirsty
66,half
67,discussion
68,necessary
69,theirs
70,day
71,eighty
72,football
73,picnic
74,sudden
75,shoulder
76,office
77,predict
78,sail
79,bike
80,progress
81,marry
82,experiment
83,family
84,record
85,chicken
86,stupid
87,structure
88,people
89,her
90,role
91,as
92,vegetable
93,love
94,amazing
95,scared
96,week
97,horse
98,examine
99,around
100,background
101,tell
102,sick
103,loud
104,answer
105,plant
106,concert
107,job
108,glass
109,carry
110,truck
111,oneself
112,see
113,eighteenth
114,plan
115,menu
116,August
117,umbrella
118,explain
119,wolf
120,western
121,nothing
122,pork
123,date
124,refuse
125,India
126,tape
127,tale
128,doctor
129,announce
130,now
131,bitter
132,fat
133,perfect
134,solid
135,twin
136,festival
137,wheat
138,play
139,department
140,zebra
141,recent
142,skirt
143,on
144,remember
145,return
146,visit
147,magic
148,phone
149,accept
150,June
151,nobody
152,driver
153,army
154,latest
155,step
156,natural
157,radio
158,he
159,China
160,such
161,dance
162,loud
163,establish
164,marathon
165,book
166,beside
167,black
168,wine
169,than
170,airport
171,afford
172,with
173,match
174,welcome
175,tea
176,brain
177,climb
178,shape
179,appear
180,translate
181,human
182,wrong
183,Brazilian
184,door
185,correct
186,beach
187,opera
188,pet
189,height
190,hill
191,tidy
192,we
193,represent
194,himself
195,wonder
196,operation
197,main
198,ear
199,above
200,teen
201,prove
202,weekday
203,afternoon
204,eastern
205,spoon
206,service
207,fan
208,shower
209,wash
210,trade
211,choice
212,grandparent
213,wash
214,porridge
215,sell
216,saying
217,nine
218,knock
219,myself
220,neighbor
221,useful
222,cook
223,still
224,test
225,size
226,interview
227,beach
228,direct
229,thought
230,border
231,lesson
232,yours
233,between
234,piece
235,listen
236,soap
237,vacation
238,adverb
239,introduce
240,but
241,raise
242,smart
243,ice
244,hang
245,calendar
246,kite
247,cupboard
