序号,单词
1,ability
2,able
3,about
4,above
5,abroad
6,absent
7,accent
8,accept
9,accident
10,ache
11,achieve
12,across
13,act
14,action
15,active
16,activity
17,add
18,address
19,advertisement
20,advice
21,advise
22,afford
23,afraid
24,after
25,afternoon
26,again
27,against
28,age
29,ago
30,agree
31,agreement
32,air
33,airline
34,airplane
35,airport
36,alive
37,all
38,allow
39,almost
40,alone
41,along
42,aloud
43,already
44,also
45,although
46,always
47,America
48,American
49,among
50,ancient
51,and
52,angry
53,animal
54,another
55,answer
56,ant
57,any
58,anyone
59,anything
60,anyway
61,anywhere
62,appear
63,apple
64,April
65,area
66,arm
67,army
68,around
69,arrive
70,art
71,article
72,as
73,Asia
74,Asian
75,ask
76,asleep
77,at
78,Atlantic
79,attention
80,August
81,aunt
82,Australia
83,Australian
84,autumn
85,available
86,avoid
87,away
88,baby
89,back
90,background
91,bag
92,ball
93,balloon
94,bamboo
95,banana
96,bank
97,basic
98,basket
99,basketball
100,bathroom
101,be
102,beach
103,bear
104,beautiful
105,because
106,bed
107,bedroom
108,bee
109,beef
110,before
111,behaviour
112,behind
113,believe
114,bell
115,below
116,beside
117,besides
118,between
119,beyond
120,big
121,bike
122,bill
123,bird
124,birth
125,birthday
126,biscuit
127,bit
128,bitter
129,black
130,blackboard
131,blind
132,blood
133,blue
134,board
135,boat
136,body
137,book
138,boring
139,born
140,borrow
141,boss
142,both
143,bottle
144,bottom
145,bowl
146,box
147,boy
148,brain
149,brave
150,bread
151,breakfast
152,breath
153,breathe
154,bridge
155,bright
156,brother
157,brown
158,brush
159,building
160,bus
161,business
162,busy
163,but
164,butter
165,butterfly
166,by
167,bye
168,cabbage
169,cake
170,call
171,camel
172,camera
173,camp
174,can
175,Canada
176,cancel
177,candle
178,cancer
179,candy
180,cap
181,capital
182,captain
183,car
184,card
185,care
186,careful
187,careless
188,carry
189,cat
190,cause
191,CD
192,ceiling
193,celebrate
194,cent
195,centre
196,century
197,certain
198,chair
199,chairman
200,chalk
201,chance
202,change
203,chant
204,cheap
205,cheat
206,check
207,cheer
208,cheese
209,chemistry
210,chess
211,chest
212,chicken
213,China
214,Chinese
215,chocolate
216,choice
217,chopsticks
218,Christmas
219,church
220,cinema
221,circle
222,city
223,clap
224,class
225,classmate
226,classroom
227,clean
228,clear
229,clever
230,climb
231,clock
232,clone
233,close
234,clothes
235,cloud
236,cloudy
237,club
238,coach
239,coal
240,coast
241,coat
242,coffee
243,coin
244,coke
245,cold
246,collect
247,college
248,comfortable
249,common
250,communicate
251,communication
252,company
253,compare
254,competition
255,complete
256,composition
257,computer
258,concert
259,condition
260,conference
261,connect
262,continue
263,control
264,conversation
265,cook
266,cooker
267,cool
268,copy
269,corner
270,correct
271,cotton
272,cough
273,could
274,count
275,country
276,countryside
277,couple
278,courage
279,course
280,cousin
281,cover
282,cow
283,crayon
284,crazy
285,create
286,cross
287,cruel
288,cry
289,culture
290,cup
291,daily
292,dance
293,danger
294,dangerous
295,dare
296,dark
297,date
298,daughter
299,day
300,dead
301,deaf
302,deal
303,dear
304,death
305,December
306,decide
307,decision
308,deep
309,delicious
310,dentist
311,depend
312,describe
313,develop
314,development
315,dialogue
316,diary
317,dictionary
318,die
319,difference
320,different
321,difficult
322,difficulty
323,dinner
324,direct
325,dirty
326,discover
327,discovery
328,discuss
329,discussion
330,disease
331,dish
332,dismiss
333,disturb
334,divide
335,doctor
336,dog
337,doll
338,dollar
339,door
340,double
341,doubt
342,down
343,downstairs
344,dozen
345,drawer
346,dress
347,driver
348,drop
349,drug
350,drum
351,dry
352,duck
353,dumpling
354,during
355,duty
356,each
357,ear
358,early
359,earth
360,east
361,easy
362,edge
363,education
364,effort
365,egg
366,eight
367,eighteen
368,eighth
369,eighty
370,either
371,elder
372,electric
373,elephant
374,eleven
375,else
376,empty
377,encourage
378,end
379,enemy
380,energy
381,engineer
382,England
383,English
384,enjoy
385,enough
386,enter
387,environment
388,eraser
389,especially
390,Europe
391,European
392,even
393,evening
394,ever
395,every
396,everybody
397,everyday
398,everyone
399,everything
400,everywhere
401,examine
402,example
403,excellent
404,except
405,excite
406,excuse
407,exercise
408,expect
409,expensive
410,experience
411,experiment
412,explain
413,express
414,eye
415,face
416,fact
417,factory
418,fail
419,fair
420,family
421,famous
422,fan
423,fantastic
424,farm
425,farmer
426,fast
427,fat
428,father
429,fear
430,February
431,feeling
432,festival
433,fetch
434,fever
435,few
436,field
437,fifteen
438,fifth
439,fifty
440,fill
441,film
442,final
443,fine
444,finger
445,finish
446,fire
447,first
448,fish
449,fisherman
450,fit
451,five
452,fix
453,flag
454,flat
455,floor
456,flower
457,flu
458,fly
459,follow
460,food
461,football
462,for
463,force
464,foreign
465,foreigner
466,forest
467,fork
468,form
469,forty
470,forward
471,four
472,fourteen
473,fourth
474,fox
475,free
476,fresh
477,Friday
478,fridge
479,friend
480,friendly
481,friendship
482,frog
483,front
484,fruit
485,full
486,fun
487,funny
488,future
489,game
490,garden
491,gate
492,general
493,gentleman
494,geography
495,gift
496,giraffe
497,girl
498,glad
499,glass
500,glove
501,goat
502,god
503,goal
504,gold
505,golden
506,government
507,grade
508,grammar
509,grandchild
510,granddaughter
511,grandparent
512,grandson
513,granny
514,grape
515,grass
516,great
517,green
518,greeting
519,ground
520,group
521,guard
522,guess
523,guest
524,gun
525,gym
526,hair
527,half
528,hall
529,ham
530,hamburger
531,hand
532,handbag
533,handsome
534,happen
535,happy
536,hard
537,hardly
538,hat
539,hate
540,he
541,head
542,health
543,healthy
544,heart
545,heat
546,heaven
547,heavy
548,height
549,help
550,helpful
551,hen
552,her
553,hers
554,here
555,herself
556,high
557,hill
558,him
559,himself
560,his
561,history
562,hobby
563,holiday
564,home
565,hometown
566,homework
567,honest
568,hope
569,horse
570,hospital
571,hot
572,hotel
573,hour
574,house
575,housework
576,how
577,however
578,huge
579,human
580,hundred
581,hungry
582,hurry
583,husband
584,I
585,ice
586,idea
587,if
588,ill
589,illness
590,imagine
591,immediately
592,important
593,improve
594,in
595,inch
596,include
597,increase
598,India
599,Indian
600,industry
601,influence
602,information
603,ink
604,inside
605,insist
606,instead
607,instruction
608,intention
609,interest
610,interesting
611,international
612,Internet
613,interview
614,into
615,introduce
616,introduction
617,invent
618,invention
619,invite
620,iron
621,island
622,it
623,its
624,itself
625,jacket
626,January
627,Japan
628,Japanese
629,jeans
630,job
631,join
632,joke
633,joy
634,juice
635,jump
636,June
637,just
638,key
639,keyboard
640,kick
641,kid
642,kill
643,kilo
644,kilometer
645,kind
646,king
647,kiss
648,kitchen
649,kite
650,knee
651,knock
652,knowledge
653,lab
654,lady
655,lake
656,lamb
657,lamp
658,land
659,language
660,large
661,last
662,late
663,laugh
664,law
665,lay
666,lazy
667,lead
668,leader
669,leaf
670,learn
671,least
672,left
673,leg
674,lemonade
675,lesson
676,letter
677,level
678,library
679,license
680,lie
681,lift
682,light
683,like
684,line
685,lion
686,list
687,listen
688,litter
689,live
690,lively
691,lock
692,London
693,lonely
694,long
695,look
696,lot
697,loud
698,love
699,lovely
700,low
701,luck
702,lucky
703,lunch
704,machine
705,mad
706,madam
707,magazine
708,magic
709,mail
710,main
711,manage
712,manager
713,map
714,March
715,mark
716,market
717,marriage
718,marry
719,master
720,match
721,math
722,may
723,May
724,maybe
725,me
726,meal
727,meaning
728,meat
729,medical
730,medicine
731,meeting
732,member
733,memory
734,mend
735,mention
736,menu
737,message
738,metal
739,method
740,middle
741,mile
742,milk
743,mind
744,mine
745,minute
746,mirror
747,miss
748,Miss
749,model
750,modern
751,moment
752,Monday
753,money
754,monitor
755,monkey
756,month
757,moon
758,morning
759,mother
760,motorcycle
761,mountain
762,mouth
763,move
764,movie
765,murder
766,museum
767,music
768,must
769,my
770,myself
771,name
772,national
773,natural
774,nature
775,near
776,nearly
777,necessary
778,neck
779,need
780,neither
781,nervous
782,never
783,new
784,news
785,newspaper
786,next
787,nice
788,night
789,nine
790,nineteen
791,ninety
792,ninth
793,no
794,nobody
795,nod
796,noise
797,none
798,noodle
799,noon
800,nor
801,normal
802,north
803,northern
804,nose
805,not
806,note
807,notebook
808,nothing
809,notice
810,November
811,now
812,number
813,nurse
814,object
815,October
816,of
817,off
818,offer
819,office
820,officer
821,often
822,oil
823,OK
824,old
825,on
826,once
827,one
828,oneself
829,only
830,open
831,operation
832,or
833,orange
834,order
835,other
836,our
837,ours
838,ourselves
839,out
840,outside
841,over
842,overcoat
843,own
844,owner
845,pacific
846,package
847,page
848,paint
849,pair
850,palace
851,pancake
852,panda
853,paper
854,pardon
855,parent
856,park
857,part
858,party
859,pass
860,passage
861,passenger
862,passport
863,past
864,path
865,patient
866,peace
867,pear
868,pen
869,pencil
870,people
871,percent
872,perfect
873,perhaps
874,period
875,person
876,personal
877,pet
878,physics
879,piano
880,pick
881,picnic
882,picture
883,pie
