序号,单词
1,a
2,abandon
3,ability
4,able
5,abnormal
6,aboard
7,abolish
8,abortion
9,about
10,above
11,abroad
12,abrupt
13,absence
14,absent
15,absolute
16,absorb
17,abstract
18,absurd
19,abundant
20,abuse
21,academic
22,academy
23,accelerate
24,accent
25,accept
26,access
27,accessible
28,anchor
29,accident
30,accommodation
31,accompany
32,accomplish
33,account
34,accountant
35,accumulate
36,accuracy
37,accuse
38,accustomed
39,ache
40,achieve
41,achievement
42,acid
43,acknowledge
44,acquaintance
45,acquire
46,acquisition
47,acre
48,across
49,act
50,action
51,active
52,activity
53,actor
54,actress
55,actual
56,acute
57,AD
58,adapt
59,adaptation
60,add
61,addicted
62,addition
63,address
64,adequate
65,adjust
66,adjustment
67,administration
68,admirable
69,admire
70,admission
71,admit
72,adolescence
73,adolescent
74,adopt
75,adore
76,adult
77,advance
78,advantage
79,adventure
80,advertise
81,advertisement
82,advice
83,advise
84,advocate
85,aeroplane
86,affair
87,affect
88,affection
89,afford
90,afraid
91,Africa
92,African
93,after
94,afternoon
95,afterward
96,again
97,against
98,age
99,agency
100,agenda
101,agent
102,aggression
103,aggressive
104,ago
105,agree
106,agreement
107,agricultural
108,agriculture
109,ahead
110,aid
111,AIDS
112,aim
113,air
114,aircraft
115,airline
116,airmail
117,airplane
118,airport
119,airspace
120,alarm
121,album
122,alcohol
123,alcoholic
124,algebra
125,alike
126,alive
127,all
128,allergic
129,alley
130,allocate
131,allow
132,allowance
133,almost
134,alone
135,along
136,alongside
137,aloud
138,alphabet
139,already
140,also
141,alternative
142,although
143,altitude
144,altogether
145,aluminium
146,always
147,am
148,amateur
149,amaze
150,amazing
151,ambassador
152,ambiguous
153,ambition
154,ambulance
155,America
156,American
157,among
158,amount
159,ample
160,amuse
161,amusement
162,analysis
163,analyze
164,ancestor
165,ancient
166,and
167,anecdote
168,anger
169,angle
170,angry
171,animal
172,ankle
173,anniversary
174,announce
175,announcement
176,annoy
177,annual
178,another
179,answer
180,ant
181,antique
182,anxiety
183,anxious
184,any
185,anyhow
186,anyone
187,anything
188,anyway
189,anywhere
190,apart
191,apartment
192,apologize
193,apology
194,apparent
195,appeal
196,appear
197,appearance
198,appendix
199,appetite
200,applaud
201,apple
202,applicant
203,application
204,apply
205,appoint
206,appointment
207,appreciate
208,appreciation
209,approach
210,appropriate
211,approve
212,approximately
213,April
214,apron
215,Arabic
216,arbitrary
217,arch
218,architect
219,architecture
220,Arctic
221,are
222,area
223,argue
224,argument
225,arise
226,arithmetic
227,arm
228,armchair
229,army
230,around
231,arrange
232,arrangement
233,arrest
234,arrival
235,arrive
236,arrow
237,art
238,article
239,artificial
240,artist
241,as
242,ash
243,ashamed
244,Asia
245,Asian
246,aside
247,ask
248,asleep
249,aspect
250,assess
251,assessment
252,assist
253,assistance
254,assistant
255,associate
256,association
257,assume
258,assumption
259,astonish
260,astronaut
261,astronomer
262,astronomy
263,at
264,athlete
265,athletic
266,athletics
267,Atlantic
268,atmosphere
269,atom
270,attach
271,attain
272,attempt
273,attend
274,attention
275,attentively
276,attitude
277,attract
278,attraction
279,attractive
280,audience
281,August
282,aunt
283,Australia
284,Australian
285,authentic
286,author
287,authority
288,automatic
289,autonomous
290,autumn
291,available
292,avenue
293,average
294,avoid
295,awake
296,award
297,aware
298,away
299,awesome
300,awful
301,awkward
302,Baby
303,bachelor
304,back
305,backache
306,background
307,backward
308,bacon
309,bacterium
310,bad
311,badly
312,badminton
313,bag
314,baggage
315,bake
316,bakery
317,balance
318,balcony
319,ball
320,ballet
321,balloon
322,ballpoint
323,bamboo
324,ban
325,banana
326,band
327,bandage
328,bang
329,bank
330,bar
331,barbecue
332,barber
333,barbershop
334,bare
335,bargain
336,barrier
337,base
338,basement
339,basic
340,basin
341,basis
342,basket
