序号,单词
1,act
2,action
3,activate
4,active
5,actress
6,actual
7,interact
8,radioactive
9,react
10,transaction
11,character
12,characteristic
13,characterize
14,agency
15,agenda
16,agent
17,agony
18,agitate
19,art
20,artery
21,article
22,articulate
23,artificial
24,artist
25,artistic
26,ban
27,abandon
28,band
29,bandage
30,bank
31,bankrupt
32,banner
33,banquet
34,husband
35,urban
36,bar
37,barbecue
38,barber
39,bare
40,barely
41,bargain
42,barn
43,barrel
44,barren
45,barrier
46,embark
47,embarrass
48,base
49,ambassador
50,baseball
51,basement
52,basic
53,basin
54,basis
55,basket
56,database
57,embassy
58,bat
59,acrobat
60,bacterium
61,batch
62,bath
63,bathe
64,bathroom
65,battery
66,battle
67,combat
68,debate
69,call
70,recall
71,calcium
72,calculate
73,calendar
74,scale
75,escalate
76,accelerate
77,celebrate
78,celebrity
79,cap
80,capable
81,capacity
82,cape
83,capital
84,capitalism
85,capsule
86,captain
87,captive
88,capture
89,escape
90,handicap
91,car
92,cargo
93,carpenter
94,carpet
95,carriage
96,carrier
97,carrot
98,carry
99,cart
100,cartoon
101,carve
102,care
103,career
104,careful
105,caress
106,cat
107,catalog
108,catastrophe
109,catch
110,category
111,cater
112,cathedral
113,Catholic
114,cattle
115,accident
116,accidental
117,acid
118,coincide
119,coincidence
120,decide
121,incidence
122,incident
123,suicide
124,decision
125,decisive
126,incidentally
127,concise
128,cut
129,execute
130,executive
131,accept
132,acceptance
133,concept
134,except
135,exception
136,exceptional
137,reception
138,susceptible
139,conceive
140,deceit
141,deceive
142,perceive
143,receipt
144,receive
145,anticipate
146,discipline
147,municipal
148,principal
149,principle
150,recipient
151,reciprocal
152,recipe
153,cup
154,cupboard
155,occupation
156,occupy
157,ascertain
158,certain
159,certainly
160,certainty
161,certificate
162,certify
163,concert
164,access
165,accessory
166,concession
167,excess
168,excessive
169,predecessor
170,process
171,procession
172,success
173,successful
174,succession
175,successive
176,successor
177,concede
178,precede
179,precedent
180,preceding
181,procedure
182,recede
183,exceed
184,exceedingly
185,proceed
186,proceeding
187,succeed
188,aggressive
189,congress
190,progress
191,progressive
192,circle
193,circuit
194,circular
195,circulate
196,circumference
197,circumstance
198,circus
199,bicycle
200,cycle
201,recycle
202,close
203,conclude
204,conclusion
205,exclude
206,exclusive
207,include
208,inclusive
209,preclude
210,closet
211,cloth
212,clothe
213,clothes
214,clothing
215,disclose
216,enclose
217,enclosure
218,count
219,account
220,accountant
221,counter
222,country
223,countryside
224,counterpart
225,county
226,discount
227,discourse
228,encounter
229,cover
230,discover
231,discovery
232,recover
233,recovery
234,uncover
235,create
236,acre
237,concrete
238,cream
239,creative
240,creature
241,decrease
242,discreet
243,discrepancy
244,increase
245,increasingly
246,massacre
247,recreation
248,secret
249,secretary
250,cry
251,crystal
252,crime
253,criminal
254,cripple
255,crisis
256,crisp
257,criterion
258,critic
259,critical
260,criticism
261,criticize
262,discriminate
263,cure
264,accuracy
265,accurate
266,curb
267,curiosity
268,curious
269,curl
270,currency
271,current
272,curriculum
273,curtain
274,curve
275,excursion
276,incur
277,mercury
278,obscure
279,occur
280,occurrence
281,recur
282,secure
283,security
284,dictation
285,addict
286,addition
287,contradict
288,contradiction
289,dictionary
290,predict
291,dedicate
292,indicate
293,indication
294,indicative
295,verdict
296,doctor
297,doctorate
298,document
299,documentary
300,conduct
301,conductor
302,deduce
303,deduct
304,educate
305,education
306,induce
307,introduce
308,introduction
309,produce
310,product
311,production
312,productive
313,productivity
314,reduce
315,reduction
316,reproduce
317,semiconductor
318,dome
319,domain
320,domestic
321,dominant
322,dominate
323,predominant
324,doom
325,dorm
326,democracy
327,democratic
328,equal
329,adequate
330,equality
331,equation
332,equator
333,equip
334,equipment
335,quarrel
336,fact
337,factor
338,factory
339,satisfaction
340,satisfactory
341,affect
342,affection
343,defect
344,perfect
345,perfection
346,effect
347,effective
348,efficiency
349,efficient
350,infect
351,infectious
352,beneficial
353,benefit
354,classification
355,classify
356,deficiency
357,deficit
358,difficult
359,difficulty
360,fiction
361,identification
362,identify
363,magnificent
364,magnify
365,office
366,officer
367,official
368,proficiency
369,significance
370,significant
371,suffice
372,sufficient
373,superficial
374,profit
375,profitable
376,fin
377,confine
378,define
379,definite
380,definition
381,final
382,finally
383,finance
384,financial
385,fine
386,finger
387,finish
388,finite
389,infinite
390,refine
391,fraction
392,fracture
393,fragile
394,fragment
395,fragrant
396,fierce
397,form
398,conform
399,formal
400,format
401,formation
402,former
403,formidable
404,formula
405,formulate
406,inform
407,information
408,perform
409,performance
410,platform
411,reform
412,transform
413,uniform
414,fur
415,furious
416,furnace
417,furnish
418,furniture
419,fuse
420,confuse
421,confusion
422,diffuse
423,refusal
424,refuse
425,gene
426,degenerate
427,gender
428,general
429,generalize
430,generate
431,generation
432,generator
433,generous
434,genetic
435,genius
436,gentle
437,gently
438,genuine
439,homogeneous
440,ingenious
441,pregnant
442,malignant
443,diagnose
444,dignity
445,indignant
446,indignation
447,cognitive
448,recognition
449,recognize
450,grade
451,centigrade
452,gradual
453,graduate
454,upgrade
455,congratulate
456,congratulation
457,disgrace
458,grace
459,graceful
460,gracious
461,grand
462,grandmother
463,grant
464,grateful
465,gratitude
466,greet
467,greeting
468,great
469,her
470,herb
471,herd
472,here
473,heritage
474,hero
475,heroic
476,heroine
477,hers
478,herself
479,inherent
480,inherit
481,shepherd
482,adhere
483,coherent
484,cohesive
485,hesitate
486,eject
487,inject
488,object
489,objection
490,objective
491,project
